Category,Item #,Pack,Size,Brand,Description,MPC Code,CW,Cs Qty,Cs Total $,Cs Avg $,Split Qty,Split Total $,Split Avg $,Weight,Total Sales $
NA,6744082,64.0,1.5OZ,RUFFLES,CHIP POTATO CHD SRCRM RDGD BG,44365,N,3.0,91.11,30.37,0.0,0.0,0.0,18.0,91.11
NA,5111976,6.0,#10,EMPRESS,OLIVE RIPE SLICED,491073600,N,2.0,91.0,45.5,0.0,0.0,0.0,88.0,91.0
NA,5889654,2.0,5 LTR,AREZIMP,VINEGAR BALSAMIC ITALY,10074865302743,N,3.0,87.66,29.22,0.0,0.0,0.0,66.0,87.66
NA,0013553,6.0,5LB,ORE IDA,POTATO TATER TOT VERSITOT,OIF00215A,N,3.0,85.65,28.55,0.0,0.0,0.0,90.0,85.65
NA,3791845,4.0,1/2GAL,GRECDEL,DIP HUMMUS RSTD RED PPR,4310,N,2.0,84.5,42.25,0.0,0.0,0.0,30.0,84.5
NA,8416970,2.0,5 LB,TYSONRL,CHICKEN TNDR FTR HMSTY PCK NAE,10383630928,N,3.0,84.42,28.14,0.0,0.0,0.0,30.0,84.42
NA,5593702,12.0,2 LB,SYS CLS,SUGAR BROWN LIGHT CANE,432454,N,3.0,84.12,28.04,0.0,0.0,0.0,72.0,84.12
NA,7064466,15.0,61 CT,ERTHPLS,LID PLASTIC PLA CLR,7064466,N,2.0,83.54,41.77,0.0,0.0,0.0,12.104,83.54
NA,1630607,12.0,20 OZ,BKRSCLS,BREAD WHEAT RND TOP SLI,12701,N,3.0,83.07,27.69,0.0,0.0,0.0,45.0,83.07
NA,8563132,48.0,4 OZ,SYS CLS,CHICKEN PHILLY BRKWY MARN,8563132,N,2.0,81.96,40.98,0.0,0.0,0.0,24.0,81.96
NA,4156444,4.0,1 GAL,SYS CLS,DRESSING HONEY MUSTARD,12856SYS,N,1.0,46.09,46.09,3.0,34.56,11.52,58.8,80.65
NA,1851765,96.0,2OZ,J DEAN,SAUSAGE PORK PATTY,10000019217,N,2.0,80.5,40.25,0.0,0.0,0.0,24.0,80.5
NA,4948287,6.0,5LB,SYS CLS,MIX PANCAKE BTRMLK GLDC COMPLT,4948287,N,3.0,80.31,26.77,0.0,0.0,0.0,90.0,80.31
NA,9312596,24.0,14 OZ,CASACLS,MILK CONDENSED SWEETENED,7486585259,N,2.0,80.24,40.12,0.0,0.0,0.0,42.0,80.24
NA,6520559,6.0,5 LB,SUNBUTR,SUNFLOWER SEED SUNBUTTER,19010,N,1.0,79.9,79.9,0.0,0.0,0.0,30.0,79.9
NA,7165111,1.0,"16""",SYSCO,MITT OVEN KEVLAR 16,KOMS6YLBK-1PS,N,3.0,78.81,26.27,0.0,0.0,0.0,27.0,78.81
NA,7064531,4.0,125 CT,ERTHPLS,CONTAINER PAPER HNG 6X6 FBR,7064531,N,1.0,78.75,78.75,0.0,0.0,0.0,21.94,78.75
NA,4008769,4.0,1 GAL,SYS REL,SYRUP PANCAKE AND WAFFLE,24213,N,3.0,78.3,26.1,0.0,0.0,0.0,138.0,78.3
NA,1169960,12.0,16 OZ,RICHS,TOPPING WHPD ON-TOP,2559,N,2.0,77.98,38.99,0.0,0.0,0.0,24.52,77.98
NA,7098175,1.0,EA,SYSCO,SUPPLY SOTF KITCHEN,KITCHEN0EB,N,1.0,77.82,77.82,0.0,0.0,0.0,6.0,77.82
NA,2517447,2.0,6.6 LB,NUTELLA,SPREAD CHOC HZNUT NUTELLA,6031,N,2.0,77.7,38.85,0.0,0.0,0.0,26.4,77.7
NA,9987553,1.0,50 CT,SYSCO,LID PLAS CLR PET DOME 160 OZ,52160ASY50,N,2.0,75.78,37.89,0.0,0.0,0.0,12.0,75.78
NA,3546386,8.0,1.5 LB,BBRLIMP,CHEESE PROV NONSMK SLI INT .75,170754,N,2.0,74.95,37.475,0.0,0.0,0.0,24.0,74.95
